#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,41,5,15.2,1.5,3.8,0.39,1,2.6,0.383,0.5,1.1,0.404,0.523,0.6,0.7,0.857,0.4,1.3,1.7,0.4,0.5,0,0.5,1.7,4.5
2,Quincy Acy\acyqu01,PF,27,BRK,40,1,19.3,1.8,5.3,0.341,1.4,4.1,0.339,0.4,1.2,0.348,0.474,1,1.2,0.813,0.6,3.5,4.1,0.6,0.4,0.3,1.1,2.1,6
3,Steven Adams\adamsst01,C,24,OKC,40,40,32,5.8,9.2,0.635,0,0,0,5.8,9.2,0.637,0.635,2,3.2,0.614,5.1,3.7,8.8,1,1.2,1.1,1.6,2.8,13.6
4,Bam Adebayo\adebaba01,C,20,MIA,35,10,20,2.5,4.6,0.549,0,0.1,0,2.5,4.5,0.563,0.549,1.7,2.3,0.753,1.7,3.3,5,1.4,0.6,0.6,1,2.1,6.8
5,Arron Afflalo\afflaar01,SG,32,ORL,35,2,12.9,1.1,2.9,0.38,0.4,1.1,0.35,0.7,1.7,0.4,0.45,0.5,0.6,0.8,0.1,1.1,1.2,0.5,0.1,0.1,0.3,1.1,3
6,Cole Aldrich\aldrico01,C,29,MIN,10,0,2.2,0.3,0.7,0.429,0,0,0,0.3,0.7,0.429,0.429,0.1,0.2,0.5,0.2,0.2,0.4,0.1,0.2,0,0.1,0.4,0.7
7,LaMarcus Aldridge\aldrila01,C,32,SAS,44,44,33.8,8.8,17.8,0.497,0.5,1.5,0.343,8.3,16.3,0.511,0.511,4.5,5.4,0.839,3.3,5.2,8.5,1.9,0.5,1.1,1.5,2.4,22.7
8,Jarrett Allen\allenja01,C,19,BRK,36,0,17.1,2.5,4.7,0.524,0.1,0.2,0.333,2.4,4.6,0.53,0.529,1.1,1.5,0.774,1.6,2.8,4.4,0.5,0.4,0.9,0.8,1.9,6.1
9,Kadeem Allen\allenka01,PG,25,BOS,3,0,2.7,0,0.7,0,0,0.7,0,0,0,0,0,1,1.3,0.75,0.3,0.3,0.7,0,0,0,0.3,0,1
10,Tony Allen\allento01,SF,36,NOP,22,0,12.4,2,4.1,0.484,0.2,0.5,0.333,1.8,3.6,0.506,0.505,0.5,1,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
